Water level predictions and measurements
from NOAA gage 8728690 (Apalachicola, 
Florida) for a three-week period surrounding
Hurricane Michael in October 2018. The
timestamps are formatted as YYYYMMDDhhmm in
Greenwich Mean Time. WL_predict_m are the
harmonic tide predictions in meters relative
to NAVD88. WL_measured_m are the water level
measurements in meters relative to NAVD88.
*
TimeGMT WL_predict_m WL_measured_m
201810050136 -0.088 0.041
201810050142 -0.079 0.052
201810050148 -0.070 0.061
201810050154 -0.061 0.070
201810050200 -0.051 0.079
201810050206 -0.042 0.092
201810050212 -0.032 0.106
201810050218 -0.021 0.118
201810050224 -0.011 0.127
201810050230 0.000 0.141
201810050236 0.010 0.153
201810050242 0.021 0.164
201810050248 0.032 0.175
201810050254 0.042 0.187
201810050300 0.053 0.201
201810050306 0.064 0.214
201810050312 0.075 0.226
201810050318 0.085 0.239
201810050324 0.095 0.250
201810050330 0.106 0.261
201810050336 0.116 0.270
201810050342 0.126 0.283
201810050348 0.135 0.294
201810050354 0.145 0.305
201810050400 0.154 0.317
201810050406 0.163 0.327
201810050412 0.172 0.337
201810050418 0.180 0.344
201810050424 0.189 0.351
201810050430 0.197 0.362
201810050436 0.204 0.367
201810050442 0.212 0.376
201810050448 0.219 0.387
201810050454 0.226 0.396
201810050500 0.233 0.402
201810050506 0.239 0.413
201810050512 0.245 0.421
201810050518 0.251 0.428
201810050524 0.256 0.432
201810050530 0.261 0.441
201810050536 0.266 0.447
201810050542 0.271 0.453
201810050548 0.275 0.460
201810050554 0.279 0.468
201810050600 0.283 0.475
201810050606 0.286 0.480
201810050612 0.289 0.485
201810050618 0.291 0.491
201810050624 0.294 0.494
201810050630 0.296 0.499
201810050636 0.297 0.504
201810050642 0.299 0.510
201810050648 0.300 0.510
201810050654 0.300 0.507
201810050700 0.301 0.502
201810050706 0.301 0.502
201810050712 0.300 0.502
201810050718 0.300 0.498
201810050724 0.299 0.496
201810050730 0.298 0.493
201810050736 0.296 0.490
201810050742 0.294 0.487
201810050748 0.292 0.483
201810050754 0.290 0.481
201810050800 0.288 0.478
201810050806 0.285 0.474
201810050812 0.282 0.465
201810050818 0.279 0.459
201810050824 0.276 0.453
201810050830 0.273 0.446
201810050836 0.269 0.437
201810050842 0.266 0.431
201810050848 0.262 0.424
201810050854 0.259 0.422
201810050900 0.255 0.411
201810050906 0.251 0.404
201810050912 0.247 0.396
201810050918 0.243 0.389
201810050924 0.240 0.381
201810050930 0.236 0.378
201810050936 0.232 0.371
201810050942 0.228 0.365
201810050948 0.224 0.360
201810050954 0.221 0.353
201810051000 0.217 0.351
201810051006 0.214 0.347
201810051012 0.210 0.338
201810051018 0.207 0.336
201810051024 0.204 0.332
201810051030 0.201 0.326
201810051036 0.198 0.324
201810051042 0.195 0.322
201810051048 0.192 0.319
201810051054 0.189 0.313
201810051100 0.187 0.315
201810051106 0.185 0.318
201810051112 0.183 0.312
201810051118 0.181 0.312
201810051124 0.179 0.310
201810051130 0.178 0.310
201810051136 0.177 0.305
201810051142 0.176 0.303
201810051148 0.175 0.302
201810051154 0.175 0.306
201810051200 0.175 0.307
201810051206 0.175 0.311
201810051212 0.175 0.312
201810051218 0.176 0.315
201810051224 0.177 0.312
201810051230 0.179 0.315
201810051236 0.181 0.319
201810051242 0.183 0.325
201810051248 0.185 0.331
201810051254 0.188 0.335
201810051300 0.191 0.340
201810051306 0.195 0.347
201810051312 0.198 0.352
201810051318 0.202 0.357
201810051324 0.207 0.362
201810051330 0.211 0.369
201810051336 0.216 0.374
201810051342 0.221 0.381
201810051348 0.226 0.388
201810051354 0.231 0.399
201810051400 0.237 0.408
201810051406 0.242 0.413
201810051412 0.248 0.422
201810051418 0.253 0.429
201810051424 0.259 0.436
201810051430 0.265 0.444
201810051436 0.270 0.454
201810051442 0.276 0.464
201810051448 0.281 0.473
201810051454 0.286 0.483
201810051500 0.291 0.492
201810051506 0.296 0.498
201810051512 0.301 0.504
201810051518 0.305 0.513
201810051524 0.309 0.518
201810051530 0.313 0.520
201810051536 0.317 0.523
201810051542 0.320 0.528
201810051548 0.323 0.528
201810051554 0.326 0.532
201810051600 0.328 0.529
201810051606 0.330 0.528
201810051612 0.332 0.531
201810051618 0.333 0.527
201810051624 0.334 0.523
201810051630 0.334 0.523
201810051636 0.335 0.522
201810051642 0.335 0.516
201810051648 0.334 0.513
201810051654 0.333 0.511
201810051700 0.332 0.509
201810051706 0.331 0.504
201810051712 0.329 0.497
201810051718 0.328 0.495
201810051724 0.325 0.491
201810051730 0.323 0.487
201810051736 0.320 0.486
201810051742 0.317 0.484
201810051748 0.314 0.481
201810051754 0.310 0.476
201810051800 0.306 0.471
201810051806 0.302 0.468
201810051812 0.298 0.465
201810051818 0.293 0.461
201810051824 0.288 0.455
201810051830 0.283 0.451
201810051836 0.278 0.445
201810051842 0.273 0.440
201810051848 0.267 0.433
201810051854 0.261 0.427
201810051900 0.255 0.421
201810051906 0.248 0.416
201810051912 0.242 0.411
201810051918 0.235 0.407
201810051924 0.228 0.402
201810051930 0.220 0.395
201810051936 0.213 0.388
201810051942 0.206 0.380
201810051948 0.198 0.373
201810051954 0.190 0.364
201810052000 0.182 0.357
201810052006 0.174 0.347
201810052012 0.165 0.338
201810052018 0.157 0.330
201810052024 0.148 0.322
201810052030 0.140 0.313
201810052036 0.131 0.304
201810052042 0.122 0.294
201810052048 0.114 0.284
201810052054 0.105 0.277
201810052100 0.096 0.267
201810052106 0.087 0.257
201810052112 0.078 0.246
201810052118 0.069 0.236
201810052124 0.060 0.228
201810052130 0.052 0.217
201810052136 0.043 0.208
201810052142 0.034 0.202
201810052148 0.025 0.191
201810052154 0.017 0.182
201810052200 0.008 0.172
201810052206 -0.001 0.165
201810052212 -0.009 0.158
201810052218 -0.017 0.149
201810052224 -0.026 0.140
201810052230 -0.034 0.132
201810052236 -0.042 0.125
201810052242 -0.049 0.117
201810052248 -0.057 0.109
201810052254 -0.065 0.101
201810052300 -0.072 0.095
201810052306 -0.079 0.087
201810052312 -0.086 0.084
201810052318 -0.092 0.073
201810052324 -0.099 0.065
201810052330 -0.105 0.060
201810052336 -0.111 0.059
201810052342 -0.116 0.053
201810052348 -0.121 0.049
201810052354 -0.126 0.046
201810060000 -0.130 0.043
201810060006 -0.134 0.043
201810060012 -0.137 0.042
201810060018 -0.140 0.041
201810060024 -0.143 0.043
201810060030 -0.145 0.044
201810060036 -0.146 0.043
201810060042 -0.147 0.044
201810060048 -0.147 0.049
201810060054 -0.147 0.052
201810060100 -0.146 0.057
201810060106 -0.145 0.059
201810060112 -0.143 0.062
201810060118 -0.141 0.070
201810060124 -0.137 0.074
201810060130 -0.134 0.082
201810060136 -0.130 0.089
201810060142 -0.125 0.096
201810060148 -0.119 0.102
201810060154 -0.113 0.111
201810060200 -0.107 0.120
201810060206 -0.100 0.128
201810060212 -0.093 0.138
201810060218 -0.085 0.147
201810060224 -0.077 0.156
201810060230 -0.068 0.168
201810060236 -0.059 0.178
201810060242 -0.049 0.191
201810060248 -0.040 0.204
201810060254 -0.030 0.218
201810060300 -0.020 0.233
201810060306 -0.009 0.244
201810060312 0.001 0.259
201810060318 0.012 0.269
201810060324 0.023 0.282
201810060330 0.034 0.293
201810060336 0.045 0.308
201810060342 0.056 0.321
201810060348 0.066 0.331
201810060354 0.077 0.343
201810060400 0.088 0.356
201810060406 0.099 0.368
201810060412 0.110 0.378
201810060418 0.120 0.389
201810060424 0.130 0.401
201810060430 0.141 0.408
201810060436 0.151 0.419
201810060442 0.160 0.429
201810060448 0.170 0.443
201810060454 0.179 0.451
201810060500 0.188 0.459
201810060506 0.197 0.469
201810060512 0.206 0.476
201810060518 0.214 0.483
201810060524 0.222 0.494
201810060530 0.229 0.501
201810060536 0.237 0.506
201810060542 0.244 0.512
201810060548 0.250 0.520
201810060554 0.256 0.530
201810060600 0.262 0.536
201810060606 0.268 0.543
201810060612 0.273 0.550
201810060618 0.278 0.553
201810060624 0.282 0.559
201810060630 0.286 0.562
201810060636 0.290 0.563
201810060642 0.293 0.564
201810060648 0.296 0.569
201810060654 0.298 0.570
201810060700 0.300 0.570
201810060706 0.302 0.572
201810060712 0.303 0.575
201810060718 0.304 0.578
201810060724 0.305 0.579
201810060730 0.305 0.581
201810060736 0.305 0.581
201810060742 0.304 0.580
201810060748 0.303 0.580
201810060754 0.301 0.580
201810060800 0.300 0.578
201810060806 0.298 0.577
201810060812 0.295 0.577
201810060818 0.293 0.576
201810060824 0.290 0.573
201810060830 0.287 0.568
201810060836 0.283 0.564
201810060842 0.280 0.557
201810060848 0.276 0.549
201810060854 0.272 0.544
201810060900 0.267 0.538
201810060906 0.263 0.530
201810060912 0.258 0.523
201810060918 0.253 0.516
201810060924 0.248 0.508
201810060930 0.243 0.496
201810060936 0.238 0.485
201810060942 0.233 0.479
201810060948 0.228 0.472
201810060954 0.223 0.463
201810061000 0.217 0.457
201810061006 0.212 0.452
201810061012 0.207 0.443
201810061018 0.201 0.436
201810061024 0.196 0.430
201810061030 0.191 0.424
201810061036 0.185 0.417
201810061042 0.180 0.412
201810061048 0.175 0.406
201810061054 0.170 0.403
201810061100 0.165 0.398
201810061106 0.160 0.395
201810061112 0.156 0.390
201810061118 0.151 0.386
201810061124 0.147 0.381
201810061130 0.143 0.377
201810061136 0.139 0.378
201810061142 0.135 0.377
201810061148 0.132 0.374
201810061154 0.128 0.371
201810061200 0.126 0.371
201810061206 0.123 0.372
201810061212 0.121 0.371
201810061218 0.119 0.366
201810061224 0.117 0.365
201810061230 0.116 0.364
201810061236 0.115 0.368
201810061242 0.114 0.370
201810061248 0.114 0.371
201810061254 0.114 0.372
201810061300 0.115 0.376
201810061306 0.116 0.377
201810061312 0.118 0.381
201810061318 0.120 0.384
201810061324 0.122 0.390
201810061330 0.125 0.390
201810061336 0.128 0.397
201810061342 0.131 0.401
201810061348 0.135 0.406
201810061354 0.140 0.412
201810061400 0.144 0.418
201810061406 0.149 0.424
201810061412 0.155 0.429
201810061418 0.161 0.434
201810061424 0.167 0.440
201810061430 0.173 0.449
201810061436 0.179 0.454
201810061442 0.186 0.463
201810061448 0.193 0.472
201810061454 0.200 0.479
201810061500 0.207 0.489
201810061506 0.214 0.501
201810061512 0.222 0.510
201810061518 0.229 0.518
201810061524 0.236 0.526
201810061530 0.244 0.538
201810061536 0.251 0.550
201810061542 0.258 0.561
201810061548 0.265 0.565
201810061554 0.272 0.574
201810061600 0.279 0.581
201810061606 0.286 0.586
201810061612 0.292 0.591
201810061618 0.298 0.598
201810061624 0.304 0.602
201810061630 0.310 0.610
201810061636 0.316 0.613
201810061642 0.321 0.619
201810061648 0.326 0.623
201810061654 0.330 0.626
201810061700 0.335 0.631
201810061706 0.338 0.632
201810061712 0.342 0.631
201810061718 0.345 0.630
201810061724 0.348 0.632
201810061730 0.351 0.633
201810061736 0.353 0.634
201810061742 0.354 0.635
201810061748 0.356 0.636
201810061754 0.357 0.634
201810061800 0.357 0.631
201810061806 0.358 0.631
201810061812 0.357 0.627
201810061818 0.357 0.622
201810061824 0.356 0.618
201810061830 0.355 0.615
201810061836 0.353 0.608
201810061842 0.351 0.602
201810061848 0.348 0.598
201810061854 0.346 0.594
201810061900 0.343 0.591
201810061906 0.339 0.587
201810061912 0.335 0.582
201810061918 0.331 0.578
201810061924 0.326 0.572
201810061930 0.322 0.569
201810061936 0.316 0.565
201810061942 0.311 0.560
201810061948 0.305 0.555
201810061954 0.299 0.550
201810062000 0.293 0.543
201810062006 0.286 0.537
201810062012 0.279 0.530
201810062018 0.272 0.521
201810062024 0.265 0.513
201810062030 0.257 0.508
201810062036 0.249 0.501
201810062042 0.241 0.491
201810062048 0.233 0.480
201810062054 0.225 0.472
201810062100 0.216 0.464
201810062106 0.207 0.456
201810062112 0.199 0.449
201810062118 0.190 0.441
201810062124 0.181 0.431
201810062130 0.172 0.424
201810062136 0.162 0.411
201810062142 0.153 0.402
201810062148 0.144 0.394
201810062154 0.134 0.382
201810062200 0.125 0.370
201810062206 0.115 0.357
201810062212 0.106 0.345
201810062218 0.096 0.334
201810062224 0.087 0.322
201810062230 0.077 0.312
201810062236 0.068 0.302
201810062242 0.059 0.291
201810062248 0.049 0.278
201810062254 0.040 0.269
201810062300 0.031 0.259
201810062306 0.022 0.245
201810062312 0.013 0.233
201810062318 0.004 0.221
201810062324 -0.004 0.209
201810062330 -0.013 0.200
201810062336 -0.021 0.193
201810062342 -0.029 0.185
201810062348 -0.037 0.172
201810062354 -0.044 0.162
201810070000 -0.052 0.153
201810070006 -0.059 0.147
201810070012 -0.065 0.141
201810070018 -0.071 0.132
201810070024 -0.077 0.126
201810070030 -0.083 0.117
201810070036 -0.088 0.112
201810070042 -0.093 0.104
201810070048 -0.097 0.099
201810070054 -0.100 0.094
201810070100 -0.104 0.090
201810070106 -0.106 0.089
201810070112 -0.109 0.085
201810070118 -0.110 0.084
201810070124 -0.112 0.085
201810070130 -0.112 0.085
201810070136 -0.112 0.082
201810070142 -0.112 0.086
201810070148 -0.111 0.088
201810070154 -0.109 0.092
201810070200 -0.107 0.095
201810070206 -0.104 0.101
201810070212 -0.101 0.103
201810070218 -0.097 0.107
201810070224 -0.092 0.115
201810070230 -0.087 0.120
201810070236 -0.082 0.129
201810070242 -0.076 0.138
201810070248 -0.069 0.146
201810070254 -0.062 0.156
201810070300 -0.055 0.164
201810070306 -0.047 0.175
201810070312 -0.039 0.187
201810070318 -0.030 0.197
201810070324 -0.021 0.204
201810070330 -0.012 0.216
201810070336 -0.003 0.226
201810070342 0.007 0.236
201810070348 0.017 0.247
201810070354 0.028 0.259
201810070400 0.038 0.273
201810070406 0.049 0.284
201810070412 0.059 0.297
201810070418 0.070 0.311
201810070424 0.081 0.328
201810070430 0.092 0.340
201810070436 0.102 0.348
201810070442 0.113 0.355
201810070448 0.124 0.365
201810070454 0.135 0.379
201810070500 0.145 0.396
201810070506 0.155 0.409
201810070512 0.166 0.424
201810070518 0.175 0.436
201810070524 0.185 0.447
201810070530 0.195 0.455
201810070536 0.204 0.462
201810070542 0.213 0.473
201810070548 0.221 0.491
201810070554 0.230 0.517
201810070600 0.238 0.530
201810070606 0.245 0.541
201810070612 0.252 0.551
201810070618 0.259 0.559
201810070624 0.265 0.565
201810070630 0.271 0.570
201810070636 0.277 0.575
201810070642 0.282 0.578
201810070648 0.287 0.586
201810070654 0.291 0.590
201810070700 0.295 0.595
201810070706 0.298 0.600
201810070712 0.301 0.604
201810070718 0.303 0.607
201810070724 0.305 0.602
201810070730 0.307 0.594
201810070736 0.308 0.591
201810070742 0.309 0.593
201810070748 0.309 0.594
201810070754 0.309 0.593
201810070800 0.308 0.590
201810070806 0.307 0.588
201810070812 0.306 0.590
201810070818 0.304 0.588
201810070824 0.302 0.586
201810070830 0.299 0.579
201810070836 0.296 0.571
201810070842 0.293 0.564
201810070848 0.290 0.560
201810070854 0.286 0.556
201810070900 0.282 0.553
201810070906 0.277 0.547
201810070912 0.273 0.539
201810070918 0.268 0.536
201810070924 0.263 0.533
201810070930 0.257 0.525
201810070936 0.252 0.517
201810070942 0.246 0.511
201810070948 0.240 0.504
201810070954 0.234 0.499
201810071000 0.228 0.492
201810071006 0.221 0.484
201810071012 0.215 0.473
201810071018 0.208 0.464
201810071024 0.202 0.458
201810071030 0.195 0.449
201810071036 0.188 0.445
201810071042 0.181 0.434
201810071048 0.174 0.423
201810071054 0.167 0.414
201810071100 0.161 0.411
201810071106 0.154 0.409
201810071112 0.147 0.397
201810071118 0.140 0.388
201810071124 0.134 0.383
201810071130 0.128 0.375
201810071136 0.121 0.370
201810071142 0.115 0.364
201810071148 0.109 0.358
201810071154 0.103 0.352
201810071200 0.098 0.349
201810071206 0.093 0.341
201810071212 0.088 0.336
201810071218 0.083 0.337
201810071224 0.078 0.329
201810071230 0.074 0.327
201810071236 0.070 0.328
201810071242 0.067 0.330
201810071248 0.064 0.329
201810071254 0.061 0.327
201810071300 0.059 0.321
201810071306 0.057 0.321
201810071312 0.055 0.317
201810071318 0.054 0.322
201810071324 0.053 0.327
201810071330 0.053 0.330
201810071336 0.053 0.336
201810071342 0.054 0.344
201810071348 0.055 0.347
201810071354 0.057 0.350
201810071400 0.059 0.347
201810071406 0.061 0.352
201810071412 0.064 0.350
201810071418 0.067 0.352
201810071424 0.071 0.360
201810071430 0.075 0.364
201810071436 0.080 0.368
201810071442 0.085 0.378
201810071448 0.091 0.389
201810071454 0.097 0.399
201810071500 0.103 0.411
201810071506 0.110 0.423
201810071512 0.116 0.431
201810071518 0.124 0.440
201810071524 0.131 0.447
201810071530 0.139 0.456
201810071536 0.147 0.464
201810071542 0.156 0.472
201810071548 0.164 0.481
201810071554 0.173 0.490
201810071600 0.182 0.499
201810071606 0.191 0.511
201810071612 0.200 0.518
201810071618 0.209 0.526
201810071624 0.218 0.533
201810071630 0.227 0.539
201810071636 0.236 0.546
201810071642 0.245 0.556
201810071648 0.254 0.563
201810071654 0.263 0.569
201810071700 0.272 0.581
201810071706 0.280 0.590
201810071712 0.289 0.595
201810071718 0.297 0.605
201810071724 0.305 0.612
201810071730 0.312 0.612
201810071736 0.319 0.617
201810071742 0.326 0.624
201810071748 0.333 0.628
201810071754 0.339 0.631
201810071800 0.345 0.636
201810071806 0.350 0.641
201810071812 0.355 0.644
201810071818 0.360 0.645
201810071824 0.364 0.647
201810071830 0.367 0.647
201810071836 0.371 0.651
201810071842 0.373 0.654
201810071848 0.376 0.650
201810071854 0.377 0.647
201810071900 0.379 0.648
201810071906 0.380 0.646
201810071912 0.380 0.643
201810071918 0.380 0.643
201810071924 0.379 0.641
201810071930 0.378 0.637
201810071936 0.377 0.634
201810071942 0.375 0.635
201810071948 0.373 0.631
201810071954 0.370 0.631
201810072000 0.367 0.628
201810072006 0.363 0.624
201810072012 0.359 0.617
201810072018 0.355 0.612
201810072024 0.350 0.609
201810072030 0.345 0.602
201810072036 0.340 0.595
201810072042 0.334 0.591
201810072048 0.328 0.588
201810072054 0.322 0.581
201810072100 0.316 0.576
201810072106 0.309 0.572
201810072112 0.302 0.564
201810072118 0.294 0.556
201810072124 0.287 0.548
201810072130 0.279 0.541
201810072136 0.271 0.532
201810072142 0.263 0.524
201810072148 0.254 0.517
201810072154 0.246 0.509
201810072200 0.237 0.501
201810072206 0.228 0.492
201810072212 0.219 0.483
201810072218 0.210 0.470
201810072224 0.201 0.462
201810072230 0.192 0.453
201810072236 0.182 0.444
201810072242 0.173 0.433
201810072248 0.163 0.421
201810072254 0.154 0.410
201810072300 0.144 0.398
201810072306 0.135 0.386
201810072312 0.125 0.375
201810072318 0.116 0.367
201810072324 0.106 0.360
201810072330 0.097 0.351
201810072336 0.088 0.339
201810072342 0.079 0.330
201810072348 0.070 0.324
201810072354 0.061 0.316
201810080000 0.052 0.307
201810080006 0.044 0.301
201810080012 0.036 0.295
201810080018 0.028 0.285
201810080024 0.020 0.276
201810080030 0.012 0.268
201810080036 0.005 0.266
201810080042 -0.002 0.253
201810080048 -0.008 0.244
201810080054 -0.014 0.242
201810080100 -0.020 0.235
201810080106 -0.026 0.227
201810080112 -0.031 0.222
201810080118 -0.035 0.220
201810080124 -0.039 0.216
201810080130 -0.043 0.213
201810080136 -0.047 0.215
201810080142 -0.049 0.220
201810080148 -0.052 0.222
201810080154 -0.054 0.222
201810080200 -0.055 0.233
201810080206 -0.056 0.250
201810080212 -0.057 0.250
201810080218 -0.057 0.254
201810080224 -0.056 0.265
201810080230 -0.055 0.280
201810080236 -0.054 0.294
201810080242 -0.052 0.301
201810080248 -0.049 0.311
201810080254 -0.046 0.328
201810080300 -0.042 0.337
201810080306 -0.038 0.352
201810080312 -0.034 0.364
201810080318 -0.029 0.374
201810080324 -0.023 0.375
201810080330 -0.017 0.383
201810080336 -0.011 0.392
201810080342 -0.004 0.402
201810080348 0.004 0.412
201810080354 0.011 0.418
201810080400 0.019 0.420
201810080406 0.028 0.432
201810080412 0.037 0.443
201810080418 0.046 0.451
201810080424 0.055 0.456
201810080430 0.065 0.463
201810080436 0.075 0.465
201810080442 0.085 0.473
201810080448 0.095 0.483
201810080454 0.105 0.490
201810080500 0.115 0.499
201810080506 0.126 0.505
201810080512 0.136 0.516
201810080518 0.147 0.526
201810080524 0.157 0.533
201810080530 0.167 0.543
201810080536 0.177 0.548
201810080542 0.187 0.554
201810080548 0.197 0.562
201810080554 0.207 0.570
201810080600 0.216 0.574
201810080606 0.225 0.580
201810080612 0.234 0.586
201810080618 0.242 0.593
201810080624 0.250 0.596
201810080630 0.258 0.596
201810080636 0.265 0.595
201810080642 0.271 0.596
201810080648 0.278 0.596
201810080654 0.284 0.595
201810080700 0.289 0.591
201810080706 0.294 0.592
201810080712 0.298 0.593
201810080718 0.302 0.599
201810080724 0.306 0.600
201810080730 0.309 0.600
201810080736 0.311 0.602
201810080742 0.313 0.602
201810080748 0.315 0.599
201810080754 0.316 0.598
201810080800 0.317 0.600
201810080806 0.317 0.594
201810080812 0.317 0.592
201810080818 0.316 0.595
201810080824 0.315 0.593
201810080830 0.313 0.592
201810080836 0.311 0.590
201810080842 0.309 0.590
201810080848 0.306 0.589
201810080854 0.303 0.585
201810080900 0.299 0.581
201810080906 0.295 0.578
201810080912 0.291 0.576
201810080918 0.287 0.574
201810080924 0.282 0.570
201810080930 0.277 0.568
201810080936 0.271 0.561
201810080942 0.265 0.558
201810080948 0.259 0.554
201810080954 0.253 0.549
201810081000 0.247 0.545
201810081006 0.240 0.545
201810081012 0.233 0.545
201810081018 0.226 0.543
201810081024 0.218 0.540
201810081030 0.211 0.537
201810081036 0.203 0.532
201810081042 0.196 0.525
201810081048 0.188 0.517
201810081054 0.180 0.512
201810081100 0.172 0.509
201810081106 0.164 0.504
201810081112 0.155 0.501
201810081118 0.147 0.498
201810081124 0.139 0.496
201810081130 0.131 0.491
201810081136 0.123 0.485
201810081142 0.115 0.477
201810081148 0.107 0.472
201810081154 0.100 0.468
201810081200 0.092 0.464
201810081206 0.085 0.456
201810081212 0.077 0.448
201810081218 0.070 0.444
201810081224 0.063 0.447
201810081230 0.057 0.445
201810081236 0.051 0.444
201810081242 0.045 0.440
201810081248 0.039 0.436
201810081254 0.033 0.435
201810081300 0.028 0.435
201810081306 0.023 0.436
201810081312 0.019 0.434
201810081318 0.015 0.432
201810081324 0.011 0.436
201810081330 0.008 0.440
201810081336 0.005 0.443
201810081342 0.002 0.446
201810081348 0.000 0.444
201810081354 -0.001 0.445
201810081400 -0.003 0.445
201810081406 -0.003 0.445
201810081412 -0.004 0.450
201810081418 -0.004 0.456
201810081424 -0.003 0.460
201810081430 -0.002 0.465
201810081436 -0.001 0.473
201810081442 0.001 0.473
201810081448 0.003 0.476
201810081454 0.006 0.480
201810081500 0.009 0.488
201810081506 0.013 0.494
201810081512 0.017 0.498
201810081518 0.022 0.506
201810081524 0.027 0.507
201810081530 0.033 0.511
201810081536 0.039 0.519
201810081542 0.045 0.528
201810081548 0.052 0.532
201810081554 0.060 0.540
201810081600 0.067 0.543
201810081606 0.076 0.545
201810081612 0.084 0.548
201810081618 0.093 0.555
201810081624 0.102 0.565
201810081630 0.112 0.574
201810081636 0.122 0.580
201810081642 0.132 0.586
201810081648 0.142 0.592
201810081654 0.152 0.605
201810081700 0.163 0.612
201810081706 0.174 0.617
201810081712 0.185 0.627
201810081718 0.195 0.634
201810081724 0.206 0.638
201810081730 0.217 0.649
201810081736 0.228 0.660
201810081742 0.239 0.669
201810081748 0.249 0.680
201810081754 0.259 0.686
201810081800 0.270 0.689
201810081806 0.279 0.694
201810081812 0.289 0.700
201810081818 0.298 0.704
201810081824 0.307 0.710
201810081830 0.316 0.716
201810081836 0.324 0.721
201810081842 0.332 0.720
201810081848 0.339 0.724
201810081854 0.346 0.729
201810081900 0.352 0.729
201810081906 0.358 0.731
201810081912 0.363 0.733
201810081918 0.368 0.735
201810081924 0.372 0.735
201810081930 0.376 0.736
201810081936 0.379 0.737
201810081942 0.382 0.740
201810081948 0.385 0.740
201810081954 0.386 0.737
201810082000 0.388 0.733
201810082006 0.388 0.731
201810082012 0.389 0.731
201810082018 0.388 0.726
201810082024 0.388 0.724
201810082030 0.387 0.722
201810082036 0.385 0.720
201810082042 0.383 0.719
201810082048 0.381 0.713
201810082054 0.378 0.709
201810082100 0.375 0.706
201810082106 0.371 0.703
201810082112 0.367 0.699
201810082118 0.363 0.695
201810082124 0.358 0.690
201810082130 0.353 0.687
201810082136 0.347 0.682
201810082142 0.342 0.676
201810082148 0.336 0.673
201810082154 0.329 0.683
201810082200 0.323 0.693
201810082206 0.316 0.688
201810082212 0.309 0.673
201810082218 0.302 0.658
201810082224 0.294 0.641
201810082230 0.286 0.634
201810082236 0.278 0.622
201810082242 0.270 0.614
201810082248 0.262 0.609
201810082254 0.253 0.611
201810082300 0.245 0.615
201810082306 0.236 0.608
201810082312 0.227 0.606
201810082318 0.218 0.604
201810082324 0.210 0.598
201810082330 0.201 0.591
201810082336 0.192 0.582
201810082342 0.183 0.589
201810082348 0.174 0.589
201810082354 0.165 0.583
201810090000 0.156 0.570
201810090006 0.148 0.560
201810090012 0.139 0.567
201810090018 0.131 0.579
201810090024 0.123 0.570
201810090030 0.115 0.567
201810090036 0.107 0.564
201810090042 0.099 0.569
201810090048 0.092 0.575
201810090054 0.085 0.548
201810090100 0.078 0.527
201810090106 0.071 0.521
201810090112 0.065 0.524
201810090118 0.059 0.519
201810090124 0.053 0.528
201810090130 0.048 0.525
201810090136 0.043 0.520
201810090142 0.038 0.525
201810090148 0.033 0.535
201810090154 0.029 0.529
201810090200 0.026 0.521
201810090206 0.022 0.525
201810090212 0.019 0.527
201810090218 0.017 0.525
201810090224 0.014 0.534
201810090230 0.013 0.550
201810090236 0.011 0.551
201810090242 0.010 0.549
201810090248 0.010 0.549
201810090254 0.009 0.548
201810090300 0.010 0.531
201810090306 0.010 0.518
201810090312 0.011 0.531
201810090318 0.013 0.543
201810090324 0.015 0.553
201810090330 0.018 0.557
201810090336 0.021 0.562
201810090342 0.024 0.565
201810090348 0.028 0.570
201810090354 0.032 0.583
201810090400 0.037 0.585
201810090406 0.042 0.589
201810090412 0.048 0.596
201810090418 0.054 0.610
201810090424 0.061 0.622
201810090430 0.068 0.629
201810090436 0.075 0.638
201810090442 0.083 0.644
201810090448 0.091 0.655
201810090454 0.099 0.664
201810090500 0.108 0.665
201810090506 0.117 0.668
201810090512 0.126 0.674
201810090518 0.135 0.681
201810090524 0.145 0.687
201810090530 0.154 0.696
201810090536 0.164 0.699
201810090542 0.174 0.707
201810090548 0.184 0.713
201810090554 0.193 0.714
201810090600 0.203 0.717
201810090606 0.212 0.723
201810090612 0.222 0.727
201810090618 0.231 0.736
201810090624 0.240 0.742
201810090630 0.248 0.751
201810090636 0.256 0.754
201810090642 0.264 0.754
201810090648 0.272 0.757
201810090654 0.279 0.766
201810090700 0.286 0.765
201810090706 0.292 0.769
201810090712 0.298 0.771
201810090718 0.304 0.770
201810090724 0.309 0.768
201810090730 0.313 0.767
201810090736 0.317 0.770
201810090742 0.321 0.774
201810090748 0.324 0.776
201810090754 0.326 0.776
201810090800 0.328 0.780
201810090806 0.330 0.780
201810090812 0.331 0.779
201810090818 0.331 0.781
201810090824 0.331 0.778
201810090830 0.330 0.775
201810090836 0.330 0.773
201810090842 0.328 0.771
201810090848 0.326 0.770
201810090854 0.324 0.770
201810090900 0.321 0.770
201810090906 0.318 0.771
201810090912 0.315 0.767
201810090918 0.311 0.767
201810090924 0.306 0.767
201810090930 0.302 0.767
201810090936 0.297 0.767
201810090942 0.291 0.760
201810090948 0.286 0.762
201810090954 0.279 0.764
201810091000 0.273 0.755
201810091006 0.266 0.749
201810091012 0.260 0.746
201810091018 0.252 0.740
201810091024 0.245 0.737
201810091030 0.237 0.733
201810091036 0.229 0.731
201810091042 0.221 0.724
