Water level predictions and measurements
from NOAA gage 8728690 (Apalachicola, 
Florida) for a three-week period surrounding
Hurricane Michael in October 2018. The
timestamps are formatted as YYYYMMDDhhmm in
Greenwich Mean Time. WL_predict_m are the
harmonic tide predictions in meters relative
to NAVD88. WL_measured_m are the water level
measurements in meters relative to NAVD88.
*
TimeGMT WL_predict_m WL_measured_m
201810012224 -0.039 -0.012
201810012230 -0.032 0.001
201810012236 -0.024 0.015
201810012242 -0.017 0.027
201810012248 -0.009 0.038
201810012254 -0.001 0.050
201810012300 0.007 0.063
201810012306 0.015 0.078
201810012312 0.023 0.092
201810012318 0.031 0.100
201810012324 0.040 0.105
201810012330 0.048 0.111
201810012336 0.056 0.122
201810012342 0.065 0.129
201810012348 0.073 0.142
201810012354 0.081 0.166
201810020000 0.090 0.184
201810020006 0.098 0.188
201810020012 0.106 0.193
201810020018 0.114 0.199
201810020024 0.122 0.203
201810020030 0.130 0.209
201810020036 0.137 0.216
201810020042 0.145 0.226
201810020048 0.152 0.242
201810020054 0.159 0.258
201810020100 0.166 0.251
201810020106 0.173 0.280
201810020112 0.180 0.288
201810020118 0.186 0.295
201810020124 0.192 0.295
201810020130 0.198 0.299
201810020136 0.204 0.304
201810020142 0.210 0.314
201810020148 0.215 0.325
201810020154 0.220 0.333
201810020200 0.225 0.340
201810020206 0.229 0.338
201810020212 0.234 0.344
201810020218 0.238 0.351
201810020224 0.241 0.349
201810020230 0.245 0.345
201810020236 0.248 0.340
201810020242 0.251 0.341
201810020248 0.254 0.345
201810020254 0.257 0.348
201810020300 0.259 0.347
201810020306 0.261 0.347
201810020312 0.263 0.351
201810020318 0.264 0.354
201810020324 0.265 0.348
201810020330 0.266 0.345
201810020336 0.267 0.342
201810020342 0.268 0.341
201810020348 0.268 0.344
201810020354 0.269 0.343
201810020400 0.269 0.343
201810020406 0.268 0.343
201810020412 0.268 0.340
201810020418 0.268 0.343
201810020424 0.267 0.342
201810020430 0.266 0.344
201810020436 0.266 0.343
201810020442 0.265 0.338
201810020448 0.264 0.335
201810020454 0.262 0.332
201810020500 0.261 0.324
201810020506 0.260 0.323
201810020512 0.259 0.326
201810020518 0.257 0.325
201810020524 0.256 0.324
201810020530 0.255 0.326
201810020536 0.253 0.327
201810020542 0.252 0.327
201810020548 0.251 0.327
201810020554 0.250 0.328
201810020600 0.249 0.329
201810020606 0.247 0.330
201810020612 0.246 0.327
201810020618 0.245 0.330
201810020624 0.244 0.329
201810020630 0.244 0.326
201810020636 0.243 0.328
201810020642 0.242 0.334
201810020648 0.242 0.336
201810020654 0.242 0.335
201810020700 0.241 0.334
201810020706 0.241 0.331
201810020712 0.241 0.327
201810020718 0.241 0.328
201810020724 0.242 0.334
201810020730 0.242 0.332
201810020736 0.243 0.334
201810020742 0.243 0.339
201810020748 0.244 0.334
201810020754 0.245 0.335
201810020800 0.246 0.338
201810020806 0.248 0.334
201810020812 0.249 0.331
201810020818 0.251 0.333
201810020824 0.253 0.338
201810020830 0.255 0.347
201810020836 0.257 0.348
201810020842 0.259 0.350
201810020848 0.262 0.355
201810020854 0.264 0.355
201810020900 0.267 0.355
201810020906 0.270 0.357
201810020912 0.273 0.359
201810020918 0.276 0.358
201810020924 0.279 0.360
201810020930 0.282 0.357
201810020936 0.286 0.357
201810020942 0.289 0.361
201810020948 0.293 0.360
201810020954 0.296 0.367
201810021000 0.300 0.372
201810021006 0.304 0.367
201810021012 0.307 0.368
201810021018 0.311 0.369
201810021024 0.315 0.376
201810021030 0.318 0.383
201810021036 0.322 0.383
201810021042 0.325 0.383
201810021048 0.329 0.388
201810021054 0.332 0.392
201810021100 0.336 0.395
201810021106 0.339 0.395
201810021112 0.342 0.398
201810021118 0.344 0.403
201810021124 0.347 0.405
201810021130 0.349 0.403
201810021136 0.351 0.408
201810021142 0.353 0.410
201810021148 0.355 0.410
201810021154 0.356 0.412
201810021200 0.358 0.412
201810021206 0.358 0.412
201810021212 0.359 0.413
201810021218 0.359 0.412
201810021224 0.359 0.411
201810021230 0.359 0.412
201810021236 0.358 0.412
201810021242 0.357 0.412
201810021248 0.355 0.411
201810021254 0.353 0.407
201810021300 0.351 0.408
201810021306 0.348 0.404
201810021312 0.346 0.401
201810021318 0.342 0.400
201810021324 0.339 0.397
201810021330 0.334 0.395
201810021336 0.330 0.394
201810021342 0.325 0.392
201810021348 0.320 0.391
201810021354 0.315 0.389
201810021400 0.309 0.386
201810021406 0.303 0.379
201810021412 0.297 0.375
201810021418 0.290 0.371
201810021424 0.283 0.367
201810021430 0.276 0.362
201810021436 0.268 0.359
201810021442 0.261 0.355
201810021448 0.253 0.349
201810021454 0.245 0.344
201810021500 0.236 0.338
201810021506 0.228 0.333
201810021512 0.219 0.328
201810021518 0.211 0.320
201810021524 0.202 0.313
201810021530 0.193 0.305
201810021536 0.184 0.298
201810021542 0.175 0.292
201810021548 0.166 0.287
201810021554 0.157 0.281
201810021600 0.147 0.273
201810021606 0.138 0.264
201810021612 0.129 0.257
201810021618 0.120 0.247
201810021624 0.111 0.237
201810021630 0.102 0.227
201810021636 0.094 0.220
